"Ozone","Solar.R","Wind","Temp","Month","Day","y"
85,188,6.3,94,8,31,475.454164590953
96,167,6.9,91,9,1,463.22830955713
78,197,5.1,92,9,2,467.029791056116
73,183,2.8,93,9,3,467.013377189402
91,189,4.6,93,9,4,469.688774323545
47,95,7.4,87,9,5,442.636531697747
32,92,15.5,84,9,6,436.434767138002
20,252,10.9,80,9,7,413.115484232628
23,220,10.3,78,9,8,401.781832781797
21,230,10.9,75,9,9,386.784718593728
24,259,9.7,73,9,10,374.868659529559
44,236,14.9,81,9,11,420.026522903146
21,259,15.5,76,9,12,395.079143014034
28,238,6.3,77,9,13,391.165524968831
9,24,10.9,71,9,14,366.084480780773
13,112,11.5,71,9,15,365.702593061609
46,237,6.9,78,9,16,398.137882023699
18,224,13.8,67,9,17,347.101861588971
13,27,10.3,76,9,18,389.984991798358
24,238,10.3,68,9,19,351.555914639825
16,201,8,82,9,20,418.428721937034
13,238,12.6,64,9,21,331.94880039679
23,14,9.2,71,9,22,364.267324049377
36,139,10.3,81,9,23,415.704418845158
7,49,10.3,69,9,24,354.787058995543
14,20,16.6,63,9,25,329.875475326758
30,193,6.9,70,9,26,355.787758916215
NA,145,13.2,77,9,27,399.096931294346
14,191,14.3,75,9,28,389.482382657553
18,131,8,76,9,29,388.879306541602
20,223,11.5,68,9,30,350.275314919477
